,Year,Intersection (Prop)
0,2011,0.25
1,2012,0.0
2,2013,0.2
3,2014,0.0
4,2015,0.0
5,2016,0.0
6,2017,0.0
7,2018,0.25
8,2019,0.0
9,2020,0.0
10,2021,0.0
11,2022,0.14
