,Year,intersection
0,2011,10.0
1,2012,0.0
2,2013,2.0
3,2014,7.0
4,2015,17.0
5,2016,11.0
6,2017,24.0
7,2018,10.0
8,2019,7.0
9,2020,3.0
10,2021,51.0
11,2022,50.0
