Year,total_docs,hits,documents,prop_doct
2011,1,2,1,1.0
2012,1,0,0,0.0
2013,2,0,0,0.0
2014,1,0,0,0.0
2015,1,0,0,0.0
2017,2,2,1,0.5
2018,2,0,0,0.0
2019,2,0,0,0.0
2020,1,0,0,0.0
2021,9,0,0,0.0
2022,13,1,1,0.08
