Year,total_docs,hits,documents,prop_doct
2011,1,0,0,0.0
2012,1,0,0,0.0
2013,3,0,0,0.0
2014,2,0,0,0.0
2015,1,0,0,0.0
2016,7,0,0,0.0
2017,4,0,0,0.0
2018,4,0,0,0.0
2019,1,0,0,0.0
2021,8,1,1,0.12
2022,9,1,1,0.11
