,Sector,intersection,health,climate
0,Chemicals,0.0,30.0,4.0
1,Construction & Materials,5.0,132.67,46.67
2,Diversified,0.0,39.0,4.0
3,Financial Services,0.5,15.5,2.0
4,Fixed Line Telecommunications,2.0,48.0,33.0
5,Food Producers,1.0,38.5,4.0
6,General Retailers,1.0,66.0,17.0
7,"Oil Equipment, Services & D...",0.0,8.0,3.0
8,Software & Computer Services,0.0,1.0,0.0
9,Support Services,0.5,6.5,1.0
10,Technology Hardware & Equip...,1.0,58.0,19.0
11,Travel & Leisure,0.0,1.0,0.0
