Year,total_docs,hits,documents,prop_doct
2011,3,0,0,0.0
2012,4,0,0,0.0
2013,6,0,0,0.0
2014,4,0,0,0.0
2015,4,0,0,0.0
2016,5,0,0,0.0
2017,2,1,1,0.5
2018,2,1,1,0.5
2019,3,2,1,0.33
2020,3,2,2,0.67
2021,9,3,2,0.22
2022,19,1,1,0.05
