,Year,intersection
0,2011,25.0
1,2012,14.0
2,2013,3.0
3,2014,0.0
4,2015,9.0
5,2016,7.0
6,2017,28.0
7,2018,45.0
8,2019,51.0
9,2020,72.0
10,2021,255.0
11,2022,283.0
