Year,total_docs,hits,documents,prop_doct
2011,10,0,0,0.0
2012,8,3,1,0.12
2013,10,0,0,0.0
2014,19,2,1,0.05
2015,21,0,0,0.0
2016,21,0,0,0.0
2017,22,4,1,0.05
2018,19,6,4,0.21
2019,18,6,2,0.11
2020,35,3,3,0.09
2021,59,13,4,0.07
2022,61,19,6,0.1
