,Year,intersection
0,2011,0.0
1,2012,6.0
2,2013,0.0
3,2014,4.0
4,2015,3.0
5,2016,2.0
6,2017,1.0
7,2018,1.0
8,2019,1.0
9,2020,3.0
10,2021,4.0
11,2022,3.0
