,WHO,Year,intersection,climate,health,sum
0,Europe,2011,0.0,1.0,31.0,32.0
1,Europe,2012,6.0,15.0,39.0,60.0
2,Europe,2013,0.0,4.0,42.0,46.0
3,Europe,2014,4.0,20.0,90.0,114.0
4,Europe,2015,3.0,18.0,117.0,138.0
5,Europe,2016,2.0,28.0,90.0,120.0
6,Europe,2017,1.0,17.0,44.0,62.0
7,Europe,2018,1.0,13.0,80.0,94.0
8,Europe,2019,1.0,15.0,74.0,90.0
9,Europe,2020,3.0,22.0,68.0,93.0
10,Europe,2021,4.0,24.0,95.0,123.0
11,Europe,2022,3.0,29.0,91.0,123.0
