,Year,Intersection (Prop)
0,2011,0.0
1,2012,0.2
2,2013,0.0
3,2014,0.23
4,2015,0.15
5,2016,0.08
6,2017,0.12
7,2018,0.11
8,2019,0.11
9,2020,0.3
10,2021,0.22
11,2022,0.2
