,Sector,intersection,health,climate
0,Aerospace & Defense,2.25,49.75,40.5
1,Alternative Energy,0.0,12.0,2.0
2,Automobiles & Parts,2.46,43.15,42.77
3,Banks,0.8,45.5,25.0
4,Beverages,0.5,50.0,16.5
5,Chemicals,2.3,41.3,23.2
6,Construction & Materials,0.67,38.67,25.33
7,Diversified,0.84,24.04,12.35
8,Electricity,3.0,52.33,93.33
9,Electronic & Electrical Equ...,0.29,7.29,6.86
10,Equity Investment Instruments,1.0,11.0,7.67
11,Financial Services,1.07,28.67,30.53
12,Food & Drug Retailers,0.0,4.0,2.0
13,Food Producers,0.5,10.17,2.67
14,Forestry & Paper,0.0,14.5,1.5
15,"Gas, Water & Multiutilities",3.17,61.5,67.67
16,General Industrials,0.71,22.05,8.14
17,General Retailers,0.36,24.36,15.0
18,Health Care Equipment & Ser...,3.27,69.18,16.64
19,Household Goods & Home Cons...,0.4,12.4,9.6
20,Industrial Engineering,1.32,43.11,19.26
21,Industrial Metals & Mining,0.0,16.33,3.67
22,Industrial Transportation,0.67,29.33,12.67
23,Media,0.4,28.1,8.6
24,Mining,1.0,158.0,65.0
25,Mobile Telecommunications,2.0,188.0,172.0
26,Nonlife Insurance,23.0,114.5,113.0
27,Oil & Gas Producers,0.5,22.0,17.5
28,Personal Goods,0.5,22.5,11.33
29,Pharmaceuticals & Biotechno...,1.43,54.0,14.57
30,Real Estate Investment & Se...,2.38,29.12,31.12
31,Software & Computer Services,1.3,18.13,11.4
32,Support Services,1.67,26.39,14.33
33,Technology Hardware & Equip...,0.93,19.67,13.13
34,Travel & Leisure,2.0,43.5,23.0
