,Year,intersection
0,2011,82.0
1,2012,31.0
2,2013,48.0
3,2014,29.0
4,2015,45.0
5,2016,117.0
6,2017,148.0
7,2018,169.0
8,2019,111.0
9,2020,151.0
10,2021,367.0
11,2022,447.0
