,Year,intersection
0,2011,24.0
1,2012,18.0
2,2013,21.0
3,2014,14.0
4,2015,18.0
5,2016,32.0
6,2017,19.0
7,2018,10.0
8,2019,7.0
9,2020,5.0
10,2021,60.0
11,2022,48.0
