,Year,intersection,health,climate
0,2011,24.0,979.0,197.0
1,2012,18.0,1669.0,235.0
2,2013,21.0,1931.0,302.0
3,2014,14.0,1269.0,255.0
4,2015,18.0,1032.0,266.0
5,2016,32.0,1195.0,275.0
6,2017,19.0,1295.0,250.0
7,2018,10.0,879.0,90.0
8,2019,7.0,854.0,133.0
9,2020,5.0,680.0,99.0
10,2021,60.0,1848.0,336.0
11,2022,48.0,1570.0,178.0
