,Year,intersection
0,2011,10.0
1,2012,10.0
2,2013,25.0
3,2014,14.0
4,2015,23.0
5,2016,16.0
6,2017,21.0
7,2018,39.0
8,2019,22.0
9,2020,42.0
10,2021,81.0
11,2022,81.0
