Year,total_docs,hits,documents,prop_doct
2011,1,0,0,0.0
2012,2,0,0,0.0
2013,1,0,0,0.0
2014,1,0,0,0.0
2015,1,0,0,0.0
2016,1,0,0,0.0
2019,1,2,1,1.0
2020,1,0,0,0.0
