Year,Intersection
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0.01
1989,0.02
1990,0.01
1991,0.02
1992,0
1993,0.01
1994,0
1995,0.02
1996,0.01
1997,0
1998,0.01
1999,0.02
2000,0.01
2001,0.02
2002,0.04
2003,0.04
2004,0.02
2005,0.03
2006,0.04
2007,0.16
2008,0.18
2009,0.23
2010,0.21
2011,0.18
2012,0.1
2013,0.1
2014,0.24
2015,0.15
2016,0.15
2017,0.12
2018,0.19
2019,0.22
2020,0.47
2021,0.6
