,Sector,intersection,climate,health
0,Automobiles & Parts,0.0,1.0,71.0
1,Banks,1.0,9.0,40.0
2,Financial Services,0.0,22.0,6.0
3,"Gas, Water & Multiutilities",0.0,2.0,8.0
4,General Retailers,1.0,32.0,191.0
5,Industrial Metals & Mining,0.0,0.0,6.0
6,Mobile Telecommunications,11.0,85.0,233.0
7,Oil & Gas Producers,6.0,59.0,201.0
8,Real Estate Investment & Se...,0.0,5.0,6.0
9,Software & Computer Services,0.0,3.0,54.0
10,Support Services,0.0,0.0,8.0
