,Year,intersection
0,2011,1.0
1,2012,10.0
2,2013,9.0
3,2014,11.0
4,2015,13.0
5,2016,10.0
6,2017,7.0
7,2018,6.0
8,2019,12.0
9,2020,4.0
10,2021,27.0
11,2022,32.0
