Year,total_docs,hits,documents,prop_doct
2011,368,19,11,0.05
2012,427,28,16,0.07
2013,456,21,11,0.05
2014,456,26,16,0.06
2015,518,34,15,0.07
2016,556,48,25,0.09
2017,639,67,39,0.1
2018,704,79,51,0.11
2019,824,161,87,0.2
2020,1027,145,96,0.14
2021,2096,380,190,0.18
