,Year,Intersection (Prop)
0,2011,0.07
1,2012,0.04
2,2013,0.08
3,2014,0.05
4,2015,0.07
5,2016,0.07
6,2017,0.1
7,2018,0.1
8,2019,0.13
9,2020,0.23
10,2021,0.29
11,2022,0.37
