Year,total_docs,hits,documents,prop_doct
2011,4,0,0,0.0
2012,5,2,1,0.2
2013,6,0,0,0.0
2014,6,0,0,0.0
2015,6,0,0,0.0
2016,5,0,0,0.0
2017,6,0,0,0.0
2018,10,3,1,0.1
2019,16,2,1,0.06
2020,18,3,2,0.11
2021,30,9,5,0.17
2022,33,4,4,0.12
