Year,total_docs,hits,documents,prop_doct
2011,8,0,0,0.0
2012,9,1,1,0.11
2013,9,0,0,0.0
2014,12,0,0,0.0
2015,15,0,0,0.0
2016,26,2,1,0.04
2017,17,6,5,0.29
2018,27,12,4,0.15
2019,25,15,4,0.16
2020,30,5,4,0.13
2021,56,22,10,0.18
2022,52,28,12,0.23
