,Year,intersection
0,2011,14.0
1,2012,21.0
2,2013,27.0
3,2014,38.0
4,2015,47.0
5,2016,63.0
6,2017,49.0
7,2018,75.0
8,2019,83.0
9,2020,133.0
10,2021,442.0
11,2022,363.0
