,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011,0.0,0.0,0.0,0.0
1,1,Asia,2012,0.0,0.0,27.0,27.0
2,2,Asia,2013,0.0,2.0,22.0,24.0
3,3,Asia,2014,0.0,2.0,18.0,20.0
4,4,Asia,2015,0.0,0.0,23.0,23.0
5,5,Asia,2016,8.0,15.0,115.0,138.0
6,6,Asia,2017,2.0,6.0,52.0,60.0
7,7,Asia,2018,12.0,81.0,275.0,368.0
8,8,Asia,2019,5.0,110.0,318.0,433.0
9,9,Asia,2020,6.0,178.0,429.0,613.0
10,10,Asia,2021,65.0,305.0,1361.0,1731.0
11,11,Asia,2022,48.0,575.0,1046.0,1669.0
