,HDI Level (2021),Year,intersection,climate,health,sum
0,Medium,2011,0.0,0.0,0.0,0.0
1,Medium,2012,0.0,0.0,27.0,27.0
2,Medium,2013,0.0,2.0,22.0,24.0
3,Medium,2014,0.0,2.0,18.0,20.0
4,Medium,2015,0.0,0.0,23.0,23.0
5,Medium,2016,8.0,15.0,115.0,138.0
6,Medium,2017,2.0,6.0,52.0,60.0
7,Medium,2018,12.0,81.0,275.0,368.0
8,Medium,2019,5.0,110.0,318.0,433.0
9,Medium,2020,6.0,178.0,429.0,613.0
10,Medium,2021,65.0,305.0,1361.0,1731.0
11,Medium,2022,48.0,575.0,1046.0,1669.0
