,Sector,intersection,health,climate
0,Chemicals,0.0,7.0,0.0
1,Diversified,17.0,330.0,67.5
2,Financial Services,6.0,223.0,38.0
3,General Industrials,2.0,22.5,3.0
4,General Retailers,0.0,26.0,18.0
5,Health Care Equipment & Ser...,10.0,34.0,4.0
6,Industrial Engineering,0.0,0.0,0.0
7,Media,0.0,31.0,4.0
8,Mobile Telecommunications,11.0,326.0,100.0
9,Support Services,0.0,2.0,0.0
