,Year,intersection,health,climate
0,2011,0.0,21.0,0.0
1,2012,0.0,29.0,0.0
2,2013,0.0,112.0,4.0
3,2014,0.0,82.0,15.0
4,2015,2.0,94.0,24.0
5,2016,0.0,121.0,20.0
6,2017,0.0,161.0,33.0
7,2018,2.0,158.0,35.0
8,2019,9.0,264.0,52.0
9,2020,12.0,308.0,58.0
10,2021,16.0,447.0,127.0
11,2022,28.0,604.0,169.0
