,Year,intersection
0,2011,5.0
1,2012,0.0
2,2013,6.0
3,2014,5.0
4,2015,4.0
5,2016,3.0
6,2017,4.0
7,2018,6.0
8,2019,7.0
9,2020,11.0
10,2021,29.0
11,2022,36.0
