Year,total_docs,hits,documents,prop_doct
2011,1,0,0,0.0
2013,1,0,0,0.0
2014,2,0,0,0.0
2015,2,0,0,0.0
2016,2,0,0,0.0
2017,3,1,1,0.33
2018,2,0,0,0.0
2019,3,0,0,0.0
2020,5,0,0,0.0
2021,8,0,0,0.0
2022,9,1,1,0.11
