,Sector,intersection,health,climate
0,Chemicals,5.0,31.0,42.0
1,Diversified,0.0,5.5,3.5
2,Financial Services,0.0,0.67,1.0
3,General Industrials,2.0,49.5,14.0
4,Industrial Metals & Mining,5.75,86.5,45.0
5,Industrial Transportation,1.5,42.5,13.5
6,Mining,0.0,0.0,0.0
7,Mobile Telecommunications,0.0,0.0,3.0
8,"Oil Equipment, Services & D...",1.0,30.0,40.0
9,Software & Computer Services,0.0,8.67,0.0
10,Support Services,0.0,21.0,14.0
