,Year,WHO,Climate,Health,Intersection
0,2012,South-East Asia,0.0,1.0,0.0
1,2013,South-East Asia,0.38,0.77,0.0
2,2014,South-East Asia,0.33,0.67,0.0
3,2015,South-East Asia,0.37,0.59,0.11
4,2016,South-East Asia,0.47,0.7,0.13
5,2017,South-East Asia,0.47,0.82,0.13
6,2018,South-East Asia,0.48,0.78,0.08
7,2019,South-East Asia,0.43,0.74,0.09
8,2020,South-East Asia,0.45,0.88,0.09
9,2021,South-East Asia,0.54,0.92,0.24
10,2022,South-East Asia,0.55,0.81,0.26
