,Year,intersection,health,climate
0,2012,0.0,2.0,0.0
1,2013,0.0,43.0,7.0
2,2014,0.0,66.0,12.0
3,2015,5.0,89.0,32.0
4,2016,8.0,147.0,41.0
5,2017,18.0,282.0,49.0
6,2018,13.0,304.0,49.0
7,2019,5.0,226.0,29.0
8,2020,11.0,223.0,48.0
9,2021,26.0,440.0,47.0
10,2022,19.0,231.0,52.0
