,Year,intersection
0,2011,18.0
1,2012,15.0
2,2013,15.0
3,2014,10.0
4,2015,17.0
5,2016,29.0
6,2017,11.0
7,2018,51.0
8,2019,57.0
9,2020,100.0
10,2021,239.0
11,2022,330.0
