,Year,intersection,health,climate
0,2011,18.0,407.0,217.0
1,2012,15.0,389.0,306.0
2,2013,15.0,515.0,255.0
3,2014,10.0,306.0,205.0
4,2015,17.0,372.0,244.0
5,2016,29.0,220.0,193.0
6,2017,11.0,414.0,216.0
7,2018,51.0,659.0,331.0
8,2019,57.0,906.0,583.0
9,2020,100.0,1111.0,710.0
10,2021,239.0,3646.0,1459.0
11,2022,330.0,4441.0,2466.0
