,Year,intersection
0,2011,22.0
1,2012,23.0
2,2013,11.0
3,2014,9.0
4,2015,10.0
5,2016,8.0
6,2017,21.0
7,2018,23.0
8,2019,64.0
9,2020,104.0
10,2021,240.0
11,2022,311.0
