Year,total_docs,hits,documents,prop_doct
2011,10,0,0,0.0
2012,10,0,0,0.0
2013,6,1,1,0.17
2014,4,0,0,0.0
2015,4,0,0,0.0
2016,4,0,0,0.0
2017,8,0,0,0.0
2018,7,3,1,0.14
2019,23,9,5,0.22
2020,20,1,1,0.05
2021,38,14,4,0.11
2022,37,12,3,0.08
