,Year,intersection,health,climate
0,2011,0.0,57.0,92.0
1,2012,4.0,122.0,163.0
2,2013,1.0,134.0,136.0
3,2014,3.0,167.0,113.0
4,2015,8.0,199.0,124.0
5,2016,8.0,191.0,130.0
6,2017,9.0,154.0,119.0
7,2018,15.0,312.0,163.0
8,2019,24.0,342.0,166.0
9,2020,24.0,360.0,154.0
10,2021,50.0,1176.0,363.0
11,2022,101.0,2004.0,788.0
