Year,total_docs,hits,documents,prop_doct
2016,2,3,1,0.5
2017,2,0,0,0.0
2018,1,0,0,0.0
2019,2,0,0,0.0
2020,2,0,0,0.0
2021,6,4,2,0.33
2022,5,1,1,0.2
