,WHO,Year,intersection,climate,health,sum
0,Europe,2011,0.0,18.0,45.0,63.0
1,Europe,2012,0.0,20.0,66.0,86.0
2,Europe,2013,0.0,33.0,56.0,89.0
3,Europe,2014,2.0,28.0,69.0,99.0
4,Europe,2015,0.0,16.0,64.0,80.0
5,Europe,2016,0.0,12.0,46.0,58.0
6,Europe,2017,1.0,17.0,31.0,49.0
7,Europe,2018,0.0,4.0,5.0,9.0
8,Europe,2019,0.0,4.0,8.0,12.0
9,Europe,2021,0.0,0.0,7.0,7.0
10,Europe,2022,0.0,0.0,6.0,6.0
