,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2017,0.0,0.0,2.0,2.0
1,1,Africa,2018,0.0,30.0,4.0,34.0
2,2,Africa,2019,0.0,0.0,7.0,7.0
3,3,Africa,2020,0.0,0.0,0.0,0.0
4,4,Africa,2022,0.0,1.0,6.0,7.0
