,Sector,intersection,health,climate
0,Banks,2.0,36.0,3.0
1,Chemicals,0.0,1.0,1.0
2,Diversified,7.67,83.33,18.67
3,Financial Services,1.0,6.0,7.67
4,Mobile Telecommunications,0.0,55.0,22.0
5,Software & Computer Services,1.0,7.0,2.0
6,Support Services,0.0,2.0,0.0
7,Travel & Leisure,5.0,59.5,28.0
