,Year,intersection
0,2012,0.0
1,2013,0.0
2,2014,0.0
3,2015,0.0
4,2016,0.0
5,2017,2.0
6,2018,1.0
7,2019,1.0
8,2020,2.0
9,2021,36.0
10,2022,39.0
