,Sector,intersection,climate,health
0,Banks,5.0,15.0,86.0
1,Chemicals,0.0,1.0,1.0
2,Diversified,49.0,131.0,669.0
3,Financial Services,6.0,76.0,115.0
4,Media,0.0,0.0,0.0
5,Mobile Telecommunications,4.0,37.0,126.0
6,Real Estate Investment & Se...,1.0,5.0,14.0
7,Software & Computer Services,1.0,2.0,38.0
8,Support Services,0.0,0.0,10.0
9,Travel & Leisure,15.0,95.0,271.0
