,Year,intersection
0,2011,0.0
1,2012,1.0
2,2013,1.0
3,2014,2.0
4,2015,7.0
5,2016,12.0
6,2017,10.0
7,2018,13.0
8,2019,8.0
9,2020,21.0
10,2021,15.0
11,2022,9.0
