,Sector,intersection,climate,health
0,Banks,2.0,54.0,47.0
1,Beverages,0.0,0.0,0.0
2,Electricity,6.0,31.0,77.0
3,Financial Services,0.0,0.0,6.0
4,General Industrials,0.0,0.0,0.0
5,Media,0.0,0.0,6.0
6,Mobile Telecommunications,0.0,22.0,60.0
7,Pharmaceuticals & Biotechno...,0.0,0.0,0.0
8,Software & Computer Services,0.0,21.0,66.0
9,Support Services,0.0,0.0,5.0
