,WHO,Year,intersection,climate,health,sum
0,Americas,2011,0.0,14.0,36.0,50.0
1,Americas,2012,0.0,19.0,37.0,56.0
2,Americas,2013,29.0,60.0,232.0,321.0
3,Americas,2014,17.0,55.0,113.0,185.0
4,Americas,2015,9.0,36.0,113.0,158.0
5,Americas,2016,1.0,6.0,23.0,30.0
6,Americas,2017,1.0,23.0,26.0,50.0
7,Americas,2018,1.0,31.0,31.0,63.0
8,Americas,2020,0.0,15.0,32.0,47.0
9,Americas,2021,2.0,70.0,83.0,155.0
10,Americas,2022,0.0,77.0,89.0,166.0
