,Year,intersection,health,climate
0,2011,77.0,1850.0,840.0
1,2012,62.0,1834.0,715.0
2,2013,184.0,1978.0,909.0
3,2014,102.0,1904.0,1247.0
4,2015,70.0,1482.0,965.0
5,2016,88.0,2271.0,1060.0
6,2017,121.0,2422.0,1276.0
7,2018,85.0,2080.0,955.0
8,2019,75.0,1960.0,1427.0
9,2020,130.0,2106.0,1700.0
10,2021,423.0,5619.0,4032.0
11,2022,419.0,4114.0,4377.0
