Year,total_docs,hits,documents,prop_doct
2012,2,2,1,0.5
2013,1,0,0,0.0
2014,2,1,1,0.5
2015,5,1,1,0.2
2016,4,1,1,0.25
2017,4,0,0,0.0
2018,4,1,1,0.25
2019,7,0,0,0.0
2020,8,0,0,0.0
2021,12,0,0,0.0
2022,19,4,1,0.05
