,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2021,0.0,0.0,91.0,91.0,Health Care Equipment & Ser...
1,Europe,2022,3.0,3.0,144.0,150.0,Health Care Equipment & Ser...
