Year,total_docs,hits,documents,prop_doct
2011,2,0,0,0.0
2012,1,0,0,0.0
2015,1,0,0,0.0
2016,3,1,1,0.33
2017,1,0,0,0.0
2018,1,0,0,0.0
2019,5,1,1,0.2
2020,3,0,0,0.0
2021,3,0,0,0.0
2022,4,1,1,0.25
