Year,WHO,total_speeches,health_speeches,climate_speeches,intersection_speeches,percent_int,percent_CC,percent_PH
2007,South-East Asia,11,4,9,0,0,81.81818181818183,36.36363636363637
2007,Western Pacific,25,11,25,5,20,100,44
2008,Africa,46,32,36,8,17.391304347826086,78.26086956521739,69.56521739130434
2008,Eastern Mediterranean,20,6,13,0,0,65,30
2008,Europe,55,19,46,7,12.727272727272727,83.63636363636363,34.54545454545455
2008,Latin America and the Caribbean,33,26,29,7,21.21212121212121,87.87878787878788,78.78787878787878
2008,North America,2,1,1,0,0,50,50
2008,South-East Asia,11,6,10,0,0,90.9090909090909,54.54545454545454
2008,Western Pacific,25,14,22,2,8,88,56.00000000000001
2009,Africa,46,28,44,8,17.391304347826086,95.65217391304348,60.86956521739131
2009,Eastern Mediterranean,21,7,13,0,0,61.904761904761905,33.33333333333333
2009,Europe,55,20,48,7,12.727272727272727,87.27272727272727,36.36363636363637
2009,Latin America and the Caribbean,33,23,30,3,9.090909090909092,90.9090909090909,69.6969696969697
2009,North America,2,1,2,1,50,100,50
2009,South-East Asia,11,7,11,4,36.36363636363637,100,63.63636363636363
2009,Western Pacific,25,15,24,8,32,96,60
2010,Africa,45,29,35,8,17.77777777777778,77.77777777777779,64.44444444444444
2010,Eastern Mediterranean,20,9,12,0,0,60,45
2010,Europe,53,20,43,7,13.20754716981132,81.13207547169812,37.735849056603776
2010,Latin America and the Caribbean,33,20,30,5,15.151515151515152,90.9090909090909,60.60606060606061
2010,North America,2,2,2,1,50,100,100
2010,South-East Asia,11,4,10,3,27.27272727272727,90.9090909090909,36.36363636363637
2010,Western Pacific,25,16,21,6,24,84,64
2011,Africa,46,24,33,1,2.1739130434782608,71.73913043478261,52.17391304347826
2011,Eastern Mediterranean,21,7,6,1,4.761904761904762,28.57142857142857,33.33333333333333
2011,Europe,55,21,36,4,7.2727272727272725,65.45454545454545,38.18181818181819
2011,Latin America and the Caribbean,33,21,30,5,15.151515151515152,90.9090909090909,63.63636363636363
2011,North America,2,2,1,1,50,50,100
2011,South-East Asia,11,5,7,0,0,63.63636363636363,45.45454545454545
2011,Western Pacific,25,18,22,7,28.000000000000004,88,72
2012,Africa,46,25,22,5,10.869565217391305,47.82608695652174,54.347826086956516
2012,Eastern Mediterranean,22,10,6,0,0,27.27272727272727,45.45454545454545
2012,Europe,55,16,27,2,3.6363636363636362,49.09090909090909,29.09090909090909
2012,Latin America and the Caribbean,33,21,24,4,12.121212121212121,72.72727272727273,63.63636363636363
2012,North America,2,1,0,0,0,0,50
2012,South-East Asia,11,5,8,1,9.090909090909092,72.72727272727273,45.45454545454545
2012,Western Pacific,25,13,21,2,8,84,52
2013,Africa,46,35,19,5,10.869565217391305,41.30434782608695,76.08695652173914
2013,Eastern Mediterranean,20,8,7,0,0,35,40
2013,Europe,55,26,23,3,5.454545454545454,41.81818181818181,47.27272727272727
2013,Latin America and the Caribbean,33,27,22,4,12.121212121212121,66.66666666666666,81.81818181818183
2013,North America,2,2,1,0,0,50,100
2013,South-East Asia,11,6,7,0,0,63.63636363636363,54.54545454545454
2013,Western Pacific,25,18,20,5,20,80,72
2014,Africa,47,40,32,10,21.27659574468085,68.08510638297872,85.1063829787234
2014,Eastern Mediterranean,20,11,7,1,5,35,55.00000000000001
2014,Europe,55,31,34,9,16.363636363636363,61.81818181818181,56.36363636363636
2014,Latin America and the Caribbean,33,26,26,4,12.121212121212121,78.78787878787878,78.78787878787878
2014,North America,2,2,2,0,0,100,100
2014,South-East Asia,11,8,11,3,27.27272727272727,100,72.72727272727273
2014,Western Pacific,25,19,22,13,52,88,76
2015,Africa,46,31,36,7,15.217391304347828,78.26086956521739,67.3913043478261
2015,Eastern Mediterranean,22,7,7,0,0,31.818181818181817,31.818181818181817
2015,Europe,54,19,43,3,5.555555555555555,79.62962962962963,35.18518518518518
2015,Latin America and the Caribbean,33,16,27,4,12.121212121212121,81.81818181818183,48.484848484848484
2015,North America,2,2,2,0,0,100,100
2015,South-East Asia,11,7,9,2,18.181818181818183,81.81818181818183,63.63636363636363
2015,Western Pacific,24,17,22,7,29.166666666666668,91.66666666666666,70.83333333333334
2016,Africa,47,25,41,7,14.893617021276595,87.2340425531915,53.191489361702125
2016,Eastern Mediterranean,21,8,9,0,0,42.857142857142854,38.095238095238095
2016,Europe,55,21,41,5,9.090909090909092,74.54545454545455,38.18181818181819
2016,Latin America and the Caribbean,33,24,29,6,18.181818181818183,87.87878787878788,72.72727272727273
2016,North America,2,2,2,0,0,100,100
2016,South-East Asia,11,7,9,1,9.090909090909092,81.81818181818183,63.63636363636363
2016,Western Pacific,24,18,23,8,33.33333333333333,95.83333333333334,75
2017,Africa,47,21,42,6,12.76595744680851,89.36170212765957,44.680851063829785
2017,Eastern Mediterranean,22,8,11,1,4.545454545454546,50,36.36363636363637
2017,Europe,55,20,39,3,5.454545454545454,70.9090909090909,36.36363636363637
2017,Latin America and the Caribbean,33,21,32,2,6.0606060606060606,96.96969696969697,63.63636363636363
2017,North America,2,2,1,0,0,50,100
2017,South-East Asia,11,6,10,1,9.090909090909092,90.9090909090909,54.54545454545454
2017,Western Pacific,25,14,22,6,24,88,56.00000000000001
2018,Africa,47,22,33,4,8.51063829787234,70.2127659574468,46.808510638297875
2018,Eastern Mediterranean,22,6,5,1,4.545454545454546,22.727272727272727,27.27272727272727
2018,Europe,55,26,46,8,14.545454545454545,83.63636363636363,47.27272727272727
2018,Latin America and the Caribbean,33,24,28,7,21.21212121212121,84.84848484848484,72.72727272727273
2018,North America,2,0,1,0,0,50,0
2018,South-East Asia,11,5,9,1,9.090909090909092,81.81818181818183,45.45454545454545
2018,Western Pacific,25,17,23,7,28.000000000000004,92,68
