,Year,intersection
0,2011,0.0
1,2012,1.0
2,2013,0.0
3,2014,0.0
4,2015,0.0
5,2017,2.0
6,2018,9.0
7,2019,13.0
8,2020,1.0
9,2021,26.0
10,2022,75.0
