,Year,intersection
0,2011,72.0
1,2012,101.0
2,2013,159.0
3,2014,160.0
4,2015,87.0
5,2016,94.0
6,2017,122.0
7,2018,55.0
8,2019,146.0
9,2020,111.0
10,2021,373.0
11,2022,425.0
