Year,total_docs,hits,documents,prop_doct
2011,264,17,10,0.06
2012,306,21,13,0.07
2013,305,18,9,0.06
2014,330,15,11,0.05
2015,372,32,13,0.09
2016,409,45,23,0.11
2017,452,55,36,0.12
2018,509,62,40,0.12
2019,597,134,69,0.22
2020,740,112,71,0.15
2021,1385,257,130,0.19
