,Sector,Climate,Health,Intersection,Year
0,Banks,0.6,0.8,0.6,2021
1,Chemicals,0.5,0.5,0.0,2021
2,Diversified,1.0,1.0,0.58,2021
3,Financial Services,0.86,0.86,0.21,2021
4,Media,0.0,0.0,0.0,2021
5,Mobile Telecommunications,1.0,1.0,0.5,2021
6,Real Estate Investment & Se...,0.33,1.0,0.33,2021
7,Software & Computer Services,0.11,1.0,0.11,2021
8,Support Services,0.0,1.0,0.0,2021
9,Travel & Leisure,0.79,1.0,0.36,2021
