,Year,Intersection (Prop)
0,2011,0.29
1,2012,0.04
2,2013,0.14
3,2014,0.0
4,2015,0.0
5,2016,0.13
6,2017,0.07
7,2018,0.11
8,2019,0.12
9,2020,0.43
10,2021,0.4
11,2022,0.0
