,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2013,0.0,1.0,4.0,5.0
1,Very High,2015,0.0,0.0,0.0,0.0
2,Very High,2022,4.0,57.0,125.0,186.0
