,Year,intersection
0,2011,578.0
1,2012,607.0
2,2013,673.0
3,2014,660.0
4,2015,656.0
5,2016,805.0
6,2017,964.0
7,2018,941.0
8,2019,1269.0
9,2020,1697.0
10,2021,4844.0
11,2022,5314.0
