Year,total_docs,hits,documents,prop_doct
2011,2,0,0,0.0
2012,4,0,0,0.0
2014,2,0,0,0.0
2015,2,0,0,0.0
2016,2,0,0,0.0
2017,2,0,0,0.0
2018,2,0,0,0.0
2019,5,0,0,0.0
2020,4,0,0,0.0
2021,13,5,2,0.15
2022,14,2,1,0.07
