,Year,WHO,Climate,Health,Intersection
0,2011,Africa,0.58,1.0,0.17
1,2012,Africa,0.4,1.0,0.2
2,2013,Africa,0.22,1.0,0.0
3,2014,Africa,0.48,0.89,0.07
4,2015,Africa,0.32,0.97,0.06
5,2016,Africa,0.43,0.86,0.06
6,2017,Africa,0.47,0.91,0.06
7,2018,Africa,0.42,0.89,0.06
8,2019,Africa,0.49,0.92,0.13
9,2020,Africa,0.52,0.92,0.16
10,2021,Africa,0.62,0.98,0.26
11,2022,Africa,0.7,0.92,0.38
