,Sector,intersection,health,climate
0,Banks,5.0,78.5,58.75
1,Beverages,0.0,32.0,12.0
2,Construction & Materials,0.0,4.0,0.0
3,Diversified,2.0,25.0,3.5
4,Electronic & Electrical Equ...,1.0,7.0,5.0
5,Financial Services,0.67,36.67,6.0
6,Fixed Line Telecommunications,0.0,19.0,19.0
7,Food Producers,0.8,5.0,2.4
8,Forestry & Paper,0.0,5.0,0.0
9,Health Care Equipment & Ser...,0.33,26.0,1.67
10,Industrial Transportation,0.0,2.0,1.0
11,Media,0.0,18.5,2.0
12,Mobile Telecommunications,3.0,39.0,1.0
13,Support Services,0.5,6.75,0.75
14,Technology Hardware & Equip...,0.5,3.5,1.5
15,Travel & Leisure,0.0,3.0,2.0
