,Year,intersection
0,2011,40.0
1,2012,7.0
2,2013,36.0
3,2014,27.0
4,2015,29.0
5,2016,33.0
6,2017,39.0
7,2018,11.0
8,2019,32.0
9,2020,19.0
10,2021,78.0
11,2022,33.0
